Kroatien;;5;Island;;:;;Kroatien;Di, 26.06. 20:00, Rostow am Don;;;;4;Nigeria;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Nigeria;;6;Nigeria;;:;;Argentinien;Di, 26.06. 20:00, St. Petersbrug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gruppe E;;1;Costa-Rica;;:;;Serbien;So, 17.06. 14:00, Samara;;;;E;Tabelle;Punkte;Tore;;;TD;;;;;;;;;;;;;;;;;;;;;;;
;;2;Brasilien;;:;;Schweiz;So, 17.06. 20:00, Rostow am Dom;;;;1;Brasilien;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Brasilien;;3;Brasilien;;:;;Costa-Rica;Fr, 22.06. 14:00, St. Petersburg;;;;2;Schweiz;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Schweiz;;4;Serbien;;:;;Schweiz;Fr, 22.06. 20:00, Kaliningrad;;;;3;Costa Rica;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;;5;Serbien;;:;;Brasilien;Mi, 27.06. 20:00, Moskau;;;;4;Serbien;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Serbien;;6;Schweiz;;:;;Costa-Rica;Mi, 27.06. 20:00, Nidschi Nowograd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gruppe F;;1;Deutschland;;:;;Mexiko;So, 17.06. 17:00, Moskau;;;;F;Tabelle;Punkte;Tore;;;TD;;;;;;;;;;;;;;;;;;;;;;;
;;2;Schweden;;:;;Südkorea;Mo, 18.06. 14:00, Nischni Nowograd;;;;1;Deutschland;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;3;Südkorea;;:;;Mexiko;Sa, 23.06. 17:00, Rostow Nowograd;;;;2;Mexiko;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Mexiko;;4;Deutschland;;:;;Schweden;Sa, 23.06. 20:00, Sotschi;;;;3;Schweden;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Schweden;;5;Mexiko;;:;;Schweden;Mi, 27.06. 16:00, Jekaterinburg;;;;4;Südkorea;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Südkorea;;6;Südkorea;;:;;Deutschland;Mi, 27.06. 16:00, Kasan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gruppe G;;1;Belgien;;:;;Panama;Mo, 18.06. 17:00, Sotschi;;;;G;Tabelle;Punkte;Tore;;;TD;;;;;;;;;;;;;;;;;;;;;;;
;;2;Tunesien;;:;;England;Mo, 18.06. 20:00, Wolgograd;;;;1;Belgien;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Belgien;;3;Belgien;;:;;Tunesien;Sa, 23.06. 14:00, Moskau;;;;2;Panama;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Panama;;4;England;;:;;Panama;So, 24.06. 14:00, Nischni Nowograd;;;;3;Tunesien;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Tunesien;;5;England;;:;;Belgien;Do, 28.06. 20:00, Kaliningrad;;;;4;England;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
England;;6;Panama ;;:;;Tunesien;Do, 28.06. 20:00, Saransk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gruppe H ;;1;Kolumbien;;:;;Japan;Di, 19.06. 14:00, Saransk;;;;H;Tabelle;Punkte;Tore;;;TD;;;;;;;;;;;;;;;;;;;;;;;
;;2;Polen;;:;;Senegal;Di, 19.06. 17:00, Moskau;;;;1;Polen;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Polen;;3;Japan;;:;;Senegal;So, 24.06. 17:00, Jekaterinburg;;;;2;Senegal;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Senegal;;4;Polen;;:;;Kolumbien;So, 24.06. 20:00, Kasan;;;;3;Kolumbien;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Kolumbien;;5;Senegal;;:;;Kolumbien;Do, 28.06. 16:00, Samara;;;;4;Japan;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
Japan;;6;Japan;;:;;Polen;Do, 28.06. 16:00, Wolgograd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
